W=a,W=about,W=all,W=also,W=an,W=and,W=are,W=as,W=at,W=be,W=been,W=between,W=both,W=but,W=by,W=can,W=during,W=for,W=from,W=has,W=have,W=how,W=however,W=i,W=in,W=including,W=into,W=is,W=it,W=its,W=many,W=may,W=not,W=of,W=on,W=one,W=or,W=other,W=s,W=some,W=such,W=than,W=that,W=the,W=their,W=there,W=these,W=they,W=this,W=through,W=to,W=two,W=use,W=used,W=using,W=was,W=were,W=when,W=which,W=who,W=will,W=with,W=1,W=2,W=after,W=only,W=we,Gender
5,0,0,0,2,6,1,1,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,10,0,0,2,0,1,0,0,0,13,3,0,1,0,0,1,0,0,4,11,0,0,1,0,2,1,3,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,F
5,0,0,0,0,7,2,0,2,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,3,1,2,0,0,0,F
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,4,0,1,1,0,0,0,0,1,6,1,0,1,0,0,0,0,0,2,10,0,0,1,0,0,0,8,0,0,0,0,4,0,2,2,0,0,0,0,0,1,1,0,F
2,0,0,0,0,8,1,4,0,0,1,1,0,0,0,0,0,3,0,1,1,0,0,0,5,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,F
5,0,0,0,3,5,1,0,0,0,2,0,0,0,0,1,0,4,0,2,1,1,0,0,5,0,0,3,0,0,0,0,0,8,1,0,0,1,0,0,0,0,2,9,1,0,0,0,4,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,F
4,0,0,1,1,7,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,2,1,0,0,1,0,6,1,0,1,0,0,0,0,0,3,9,0,0,0,0,2,0,7,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,F
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,0,1,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,F
4,2,0,0,4,14,0,0,1,1,1,1,0,0,2,0,2,4,0,1,1,1,0,1,9,0,0,3,0,1,2,0,0,10,6,0,0,0,0,0,0,1,2,13,1,0,2,0,3,0,8,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,F
2,0,0,1,1,15,0,1,0,0,1,0,0,0,0,0,0,3,0,1,2,0,1,0,12,1,0,5,6,3,3,0,2,8,1,0,0,0,1,0,0,1,7,27,1,0,0,2,4,0,5,0,0,0,0,2,4,0,0,1,0,4,0,0,1,0,0,F
1,0,2,0,0,4,2,0,0,1,1,0,0,0,3,1,0,1,1,1,0,0,1,0,4,0,0,2,0,1,0,0,1,7,2,0,0,0,0,0,0,0,1,11,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,F
0,1,0,1,0,8,3,1,1,0,1,0,0,0,0,0,1,3,1,0,2,0,1,0,8,1,0,3,0,0,0,0,2,6,2,0,2,0,0,0,1,0,0,6,1,2,4,0,1,0,3,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,F
3,0,0,0,5,11,0,2,1,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,6,0,0,1,0,0,0,0,0,15,1,0,0,0,5,0,0,0,3,24,1,0,2,0,4,0,6,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,F
0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,7,1,0,0,1,0,0,0,0,1,12,0,0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,F
0,1,0,0,1,12,0,0,0,1,0,0,1,0,1,0,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,10,2,1,1,0,1,0,0,4,0,9,0,0,1,0,1,0,3,0,0,0,1,2,2,0,0,3,0,4,0,0,0,0,1,F
3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,12,1,0,1,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
2,0,0,0,0,3,2,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,4,0,0,1,1,5,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,6,2,1,0,1,0,1,0,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,2,0,6,0,0,0,0,1,0,3,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,F
3,0,0,0,1,1,1,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,3,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,F
3,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,F
4,0,0,0,0,4,0,0,1,4,2,1,0,0,0,1,0,3,1,2,0,0,0,0,3,0,1,0,1,0,0,0,0,3,1,1,0,1,0,0,0,0,1,10,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,F
6,0,0,0,1,5,0,4,1,2,0,0,1,1,1,0,0,5,1,2,3,0,0,0,9,0,0,3,1,0,0,1,0,11,0,0,1,1,1,0,0,0,2,15,1,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,2,5,0,0,1,0,0,F
2,1,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,F
0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F
2,0,0,0,1,2,2,0,0,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,6,0,0,5,0,0,0,0,1,6,1,0,1,1,0,0,0,0,2,9,0,1,2,0,0,1,6,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,F
0,0,1,1,0,7,1,0,2,1,2,0,0,1,2,0,3,2,0,0,2,0,0,3,2,0,1,1,0,0,0,4,1,4,1,0,1,0,0,0,0,1,3,5,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,F
3,0,0,0,1,6,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,6,2,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,F
1,0,0,0,0,3,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,5,0,0,0,0,2,8,1,0,1,1,0,0,0,0,1,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,F
5,0,0,0,0,8,2,1,1,4,1,3,0,0,1,1,0,0,0,2,0,0,0,2,7,0,1,0,0,0,0,1,2,6,0,0,1,0,0,1,0,0,4,7,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,F
3,1,1,0,0,6,2,0,0,0,0,2,0,0,0,0,1,7,3,0,0,0,0,0,10,0,0,2,0,0,0,0,1,11,0,0,0,0,0,0,1,3,5,17,0,1,1,0,6,0,3,0,0,1,1,4,0,0,0,0,0,4,0,0,0,0,0,F
2,0,0,0,1,7,0,0,0,0,0,4,0,0,0,1,0,3,1,0,0,0,0,0,4,0,2,1,1,0,0,0,1,2,2,1,3,0,1,0,0,0,1,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,F
1,0,0,0,1,5,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,1,2,0,0,0,9,2,0,0,0,0,1,0,0,1,14,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,F
1,0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,F
2,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,F
3,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,4,0,0,2,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,F
4,0,1,0,0,3,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,4,2,0,0,0,1,0,0,0,2,5,1,0,0,2,1,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,F
4,0,1,0,3,7,3,4,1,3,3,0,2,0,1,0,0,2,2,2,2,0,0,0,3,0,0,4,2,1,1,2,1,11,0,0,0,1,0,0,1,0,3,12,0,0,1,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F
